Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Uzbekistan,"Air transport, passengers carried",1940378,2033933,1850056,2114050,2275947,2593509,2614085,2545935,2486673,2383631,2581865,3056558
Vanuatu,"Air transport, passengers carried",122581,120742,112169,247944,240396.4377,318747,327060,320232,272332,299315,341110,374603
"Venezuela, RB","Air transport, passengers carried",5495292,5766973,5121009,6428163,7728281.254,7738509.645,6866780.599,7888722.399,7086072,6025475,4209158,2137771
Vietnam,"Air transport, passengers carried",7194443,9991145,11073604,14377619,16544477.83,16976051.38,20429309.91,23826013.27,29944771,37349272,42592762,47049671
Virgin Islands (U.S.),"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.","Air transport, passengers carried",1073493,1064878,1050486,1536556,1492073.329,1299707.239,1664220,1665552,443685,242723,132571,336310
Zambia,"Air transport, passengers carried",61589,62467,..,260502,306034.3,127296.65,10032,8592,203617,144060,154573,8904
Zimbabwe,"Air transport, passengers carried",254783,264404,261480,258828,279347.6184,320945.9998,351564,301260,370165,378803,282539,282539
Arab World,"Air transport, passengers carried",51722644,53542019,95372047,126796491.9,135837641.4,152014159.7,166209279.1,181627311.1,195957046,214318723,223496214.1,228275181.8
Caribbean small states,"Air transport, passengers carried",4918479,4978399,4424144,4996231,5829441.176,5920044.896,5475499.6,6162872.329,5845803,5986259,5816851,6079320.849
Central Europe and the Baltics,"Air transport, passengers carried",23721701,25261998,24733789,32710131.38,34477031.59,32490649.47,35246300.75,37875158.18,39811670,42884394,52125994,59467579
Early-demographic dividend,"Air transport, passengers carried",245988633,244712190,259076645,370779756.7,411779408.1,443984379.7,473370786.9,518240248.9,566264222,621441555,679891167.7,739426396.5
